Item, Price per serving , Current Price on Food Card ,Cal,Fat,Sat Fat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein,WIC
100 % juice,$1.99 ,,210,0 g,0 g,0 mg,40 mg,52 g,0 g,49 g,0 g,
Frozen Pizza,$1.69 ,,533,24g,8.5g,28g,890mg,58g,4g,7g,21g,
Black coffee,$0.64 ,,0,< 0.1 g,< 0.1 g,0 mg,1 mg,0 g,0 g,0 g,< 0.1 g,
White bread,$0.18 ,,140,1.5 g,0 g,0 mg,250 mg,26 g,< 1g,3 g ,4 g,
banana,$0.79 ,,105,0.4 g,0.1 g,0 mg,1 mg,27 g,3.1 g,14.4 g,1.3 g,
RTE Burrito,$2.29 ,,570,15 g,4.5 g,30 mg,1150 mg,82 g,6 g,2 g,24 g,
RTE Ham Sandwich,$4.29 ,,650,17 g,6 g,70 mg,1450 mg,84 g,5 g,13 g,38 g,
,,,,,,,,,,,,
Food Pantry Food,,,,,,,,,,,,
Mac and Cheese,  Free ,,260,1.5 g,0.5 g,< 5 mg,570 mg,50 g,2 g,8 g,9 g,
Pasta, Free ,,200,1 g,0 g,0 mg,0 mg,41 g,2 g,2 g,7 g,
Tomato Sauce, Free ,,80,0 g,0 g,0 mg,1640 mg,16 g,4 g,8 g,2 g,
White Bread, Free ,,130,1.5 g,0 g,0 mg,250 mg,25 g,<1 g,3 g,4 g,
Canned Tuna, Free ,,50,0 g,0 g,25 mg,180 mg,0 g,0 g,0 g,11 g,
Brown RIce, Free ,,216,1.8 g,0.4 g,0 mg,10 mg,44.8 g,3.5 g,0.7 g,5 g,
Black Beans, Free ,,227,0.9 g,0.2 g,0 mg,2 mg,40.8 g,15 g,Not listed,15.2g,
,,,,,,,,,,,,
Community Kitchen ,,,,,,,,,,,,
Soup and Bread, Free ,,500,,,,,,,,,
